ds,yhat
2014-01-03,226.36948771836947
2014-01-04,206.7992712208267
2014-01-05,213.6888331720567
2014-01-06,214.7565606269248
2014-01-07,242.9112248407976
2014-01-09,206.4961022798776
2014-01-10,220.05343515388788
2014-01-11,203.66164002104273
2014-01-13,218.76204416816736
2014-01-14,250.7000585503507
2014-01-15,231.28609278398287
2014-01-16,221.7667767613241
2014-01-18,225.58440878259452
2014-01-19,238.69350014162285
2014-01-20,245.67076485062208
2014-01-21,279.24285216060105
2014-01-23,251.48883095807497
2014-01-26,264.3175624187646
2014-01-27,268.32230485320815
2014-01-28,298.15947395659407
2014-01-30,260.88781512545165
2014-01-31,271.75449639249524
2014-02-01,251.12050269864147
2014-02-02,255.69966056010514
2014-02-03,253.17708586267653
2014-02-04,276.45785257686777
2014-02-06,226.58467492410756
2014-02-07,231.70697634575527
2014-02-08,205.89385321047362
2014-02-11,220.3800867567227
2014-02-12,189.3494488840628
2014-02-14,173.8717490570571
2014-02-15,149.76414377473682
2014-02-16,152.73502722182013
2014-02-17,150.5668508262465
2014-02-18,176.22181459919716
2014-02-20,137.17274277279262
2014-02-21,150.64484928528375
2014-02-22,135.00201661924888
2014-02-23,146.93932967064413
2014-02-24,154.0735858553101
2014-02-27,168.83827356792457
2014-03-01,183.86734458472262
2014-03-02,203.42540672461558
2014-03-03,217.32822851647703
2014-03-04,258.23475808103103
2014-03-05,247.45271306360019
2014-03-07,270.7251767560538
2014-03-10,296.03255247536106
2014-03-11,334.146318116744
2014-03-14,331.59920679476056
2014-03-15,318.4084830621766
2014-03-16,330.0890250004227
2014-03-17,334.27646265044115
2014-03-18,363.82793826673714
2014-03-19,340.27791433014136
2014-03-21,334.7929431918449
2014-03-22,313.0382538079263
2014-03-23,316.53623403299207
2014-03-24,313.05472679755206
2014-03-25,335.5679570592278
2014-03-26,305.71018102646696
2014-03-28,290.10425190131605
2014-03-29,264.63676412098266
2014-03-30,265.35241717337095
2014-03-31,260.0171540373368
2014-04-01,281.58348954827966
2014-04-02,251.64546783269074
2014-04-03,231.59351556407628
2014-04-04,238.23633209257667
2014-04-05,214.89018929275494
2014-04-06,218.28743437520203
2014-04-07,216.05802798654577
2014-04-08,241.0850213520101
2014-04-11,209.1981846692039
2014-04-12,189.69916130260253
2014-04-13,196.80804103770026
2014-04-15,226.40578531089773
2014-04-16,203.11764252061434
2014-04-18,202.24046968183873
2014-04-19,184.55128562079935
2014-04-20,193.08481931175947
2014-04-21,195.44864540557876
2014-04-22,224.4558484141955
2014-04-23,201.58238606503318
2014-04-25,200.81728243831463
2014-04-26,182.93280978337702
2014-04-28,193.2226081575476
2014-04-29,221.9302135656621
2014-04-30,198.82969353907265
2014-05-02,198.00392006628746
2014-05-03,180.35500000925344
2014-05-04,189.0461823989824
2014-05-05,191.75425136667886
2014-05-06,221.3495462378134
2014-05-07,199.35158245849817
2014-05-08,187.0843580050808
2014-05-09,201.2984922912219
2014-05-10,185.26058082355456
2014-05-11,195.66157322496417
2014-05-12,200.13334028159687
2014-05-13,231.49777650082078
2014-05-14,211.22404955309548
2014-05-16,216.28382324861633
2014-05-17,201.5392539039027
2014-05-18,213.00119809674607
2014-05-19,218.26574856423662
2014-05-20,250.12600181205138
2014-05-21,230.03021886576232
2014-05-22,219.23946130978206
2014-05-23,234.4517800533245
2014-05-24,218.89328008811003
2014-05-25,229.22782013191278
2014-05-26,233.07447665109228
2014-05-27,263.25709606387574
2014-05-28,241.26153778891995
2014-05-30,241.39489722790077
2014-05-31,223.5465874614943
2014-06-01,231.56352893840383
2014-06-02,233.11726468103566
2014-06-03,261.08267127344317
2014-06-04,236.99376444045114
2014-06-06,233.4824084805724
2014-06-07,214.15340657071368
2014-06-08,220.953043085746
2014-06-09,221.56995124237093
2014-06-10,248.88794802014462
2014-06-13,221.04900118756558
2014-06-14,202.1587599218044
2014-06-15,209.6144742775914
2014-06-16,211.07129669319187
2014-06-17,239.37553306616104
2014-06-18,216.0216250887981
2014-06-20,214.96469085161377
2014-06-21,197.2356691795311
2014-06-22,205.7966573281504
2014-06-23,208.2278937461668
2014-06-24,237.38685776893087
2014-06-25,214.7441587756149
2014-06-27,214.6159459487892
2014-06-28,197.09016957482083
2014-06-29,205.68262465631713
2014-06-30,208.02459141564202
2014-07-01,236.94972955341916
2014-07-02,213.95130370735552
2014-07-04,212.86053226824546
2014-07-05,194.79413234954194
2014-07-06,202.85416394778133
2014-07-07,204.70858757351928
2014-07-08,233.22690554781866
2014-07-09,209.9361402634583
2014-07-11,208.7217430068573
2014-07-12,190.87104215070394
2014-07-13,199.35349528787162
2014-07-14,201.8451569384093
2014-07-15,231.21656445411048
2014-07-18,210.4682973329034
2014-07-19,194.20209771168047
2014-07-20,204.38611215843576
2014-07-21,208.65922661639232
2014-07-22,239.85101289781213
2014-07-23,219.43868958849342
2014-07-25,224.355561775872
2014-07-26,209.6216969119271
2014-07-27,221.15774538219935
2014-07-28,226.56476783878924
2014-07-30,238.83127109369502
2014-08-01,244.0458649981221
2014-08-02,228.98612336654196
2014-08-03,239.87989857867927
2014-08-04,244.3381441832262
2014-08-05,275.174912014863
2014-08-06,253.8648516885159
2014-08-08,255.4132695841915
2014-08-09,238.26807357923994
2014-08-11,249.16999235078745
2014-08-12,277.7388444390241
2014-08-15,251.5800951317865
2014-08-16,232.58639919151537
2014-08-17,239.64350074539607
2014-08-19,267.8656272387905
2014-08-20,243.4588804838259
2014-08-22,239.9804290947804
2014-08-23,220.98950910575243
2014-08-24,228.325502375294
2014-08-25,229.66001338230205
2014-08-26,257.8567188395345
2014-08-27,234.42785467022475
2014-08-29,233.32453295609852
2014-08-30,215.68923517067793
2014-08-31,224.441438139133
2014-09-01,227.21413824751147
2014-09-02,256.83368451250533
2014-09-03,234.77727304594777
2014-09-05,236.208678960152
2014-09-06,219.65241707424883
2014-09-07,229.3322843731056
2014-09-08,232.86864220233616
2014-09-09,263.0807952976324
2014-09-10,241.444452929426
2014-09-11,229.2485934314073
2014-09-12,243.21883498186514
2014-09-13,226.60766281157555
2014-09-14,236.10329928181204
2014-09-15,239.3463736644184
2014-09-16,269.1787417147213
2014-09-17,247.100082122804
2014-09-19,247.89990966072423
2014-09-20,230.8036552136795
2014-09-21,239.84438249495994
2014-09-22,242.68114309774074
2014-09-23,272.1710216625974
2014-09-24,249.82529038224666
2014-09-25,236.96508762872588
2014-09-26,250.34376051756786
2014-09-27,233.23625267559274
2014-09-28,242.34734794574268
2014-09-29,245.32794363993847
2014-09-30,275.02371222371187
2014-10-01,252.9317791329179
2014-10-02,240.35701652692683
2014-10-03,254.0350698935986
2014-10-04,237.22247371538322
2014-10-05,246.6056405639151
2014-10-06,249.81787045898574
2014-10-07,279.6887130928565
2014-10-08,257.7012857163579
2014-10-09,245.14912380737312
2014-10-10,258.75966173411354
2014-10-11,241.76601280242542
2014-10-12,250.87217500848445
2014-10-13,253.7140944163856
2014-10-14,283.12762396796853
2014-10-15,260.60562919819637
2014-10-16,247.45449609095422
2014-10-17,260.41715025507887
2014-10-18,242.76294376116678
2014-10-19,251.19620201626486
2014-10-20,253.3725931304298
2014-10-21,282.1476750960864
2014-10-22,259.0332526340934
2014-10-24,257.8655723125632
2014-10-25,239.8523268884259
2014-10-26,248.02690371281952
2014-10-27,250.0504139561935
2014-10-28,278.7798683917569
2014-10-29,255.72440284948468
2014-10-31,254.95736825294486
2014-11-01,237.2607876892726
2014-11-02,245.80734442857832
2014-11-03,248.23810827537494
2014-11-04,277.38817584815956
2014-11-05,254.74367804090923
2014-11-06,241.59841967041848
2014-11-07,254.67726102473551
2014-11-08,237.22658987458152
2014-11-09,245.92366035857486
2014-11-10,248.39393744890106
2014-11-11,277.46077146289855
2014-11-12,254.60299744181353
2014-11-14,253.7155359053547
2014-11-15,235.6680416510995
2014-11-16,243.66020380439875
2014-11-17,245.3359164172499
2014-11-18,273.5415588993448
2014-11-19,249.78299558668493
2014-11-20,235.37471033152164
2014-11-21,247.08418440717878
2014-11-22,228.19988085220476
2014-11-23,235.44662797689253
2014-11-24,236.50157251037737
2014-11-25,264.24226487118995
2014-11-26,240.20251744393377
2014-11-27,225.7276577521836
2014-11-28,237.59632385264263
2014-11-29,219.10919602188613
2014-11-30,226.99649329594519
2014-12-01,228.93343085578496
2014-12-02,257.7880234336005
2014-12-03,235.0768918419629
2014-12-04,222.12070399554761
2014-12-05,235.66640002442915
2014-12-06,218.97659036335097
